,Market,Time,Open,High,Low,Close,Volume,Value,No. Trades,Taker Buy Volume,Taker Buy Value
0,BTCUSDT,2018-01-01 00:00:00,13715.65,13715.65,13681.0,13707.92,2.844266,38931.00441306,32,2.002554,27414.3541153
1,BTCUSDT,2018-01-01 00:01:00,13707.91,13707.91,13666.11,13694.92,2.113138,28910.98250103,29,0.264134,3613.8841797
2,BTCUSDT,2018-01-01 00:02:00,13682.0,13694.94,13680.0,13680.0,1.346411,18431.84269039,46,0.753332,10313.33178487
3,BTCUSDT,2018-01-01 00:03:00,13679.98,13679.98,13601.0,13645.99,11.589417,157962.17750801,137,5.507146,75118.44543695
4,BTCUSDT,2018-01-01 00:04:00,13645.98,13646.0,13576.28,13600.0,15.724566,213978.12070266,191,9.739792,132561.88152514
5,BTCUSDT,2018-01-01 00:05:00,13600.0,13600.0,13554.44,13568.0,6.395223,86790.92092172,129,4.525578,61427.63687404
6,BTCUSDT,2018-01-01 00:06:00,13568.0,13569.99,13520.0,13533.68,6.348072,86029.64378778,138,3.221744,43694.19260218
7,BTCUSDT,2018-01-01 00:07:00,13554.0,13554.0,13501.01,13530.0,7.057208,95436.04483888,123,3.321991,44949.85321224
8,BTCUSDT,2018-01-01 00:08:00,13514.53,13575.0,13504.99,13575.0,16.240707,219884.99290622,157,7.699183,104259.88627167
9,BTCUSDT,2018-01-01 00:09:00,13539.99,13575.0,13539.99,13554.58,4.487469,60787.54262086,85,1.611603,21845.95894229
10,BTCUSDT,2018-01-01 00:10:00,13554.58,13569.97,13530.0,13530.12,3.737071,50606.62521131,61,1.435422,19439.05726543
11,BTCUSDT,2018-01-01 00:11:00,13554.58,13560.89,13400.01,13515.26,22.471499,303134.66539612,194,6.018712,81208.90817738
12,BTCUSDT,2018-01-01 00:12:00,13515.26,13533.77,13485.41,13499.98,3.070026,41474.49840107,64,2.010103,27167.71192647
13,BTCUSDT,2018-01-01 00:13:00,13499.98,13530.0,13473.47,13530.0,4.423037,59796.26754372,74,3.26907,44194.704985
14,BTCUSDT,2018-01-01 00:14:00,13500.35,13568.66,13500.35,13556.15,15.767903,213389.55720243,112,11.846769,160401.01969991
15,BTCUSDT,2018-01-01 00:15:00,13533.75,13547.73,13505.0,13520.0,3.475289,46994.79046474,79,0.631024,8537.34563673
16,BTCUSDT,2018-01-01 00:16:00,13505.15,13519.99,13450.39,13499.96,6.977856,94074.75375941,92,2.516371,33924.19231646
17,BTCUSDT,2018-01-01 00:17:00,13479.59,13479.59,13402.0,13440.03,9.154044,123160.37016918,149,4.745258,63884.76078993
18,BTCUSDT,2018-01-01 00:18:00,13440.01,13461.23,13402.01,13440.0,5.770208,77520.54851653,125,3.705479,49790.16496967
19,BTCUSDT,2018-01-01 00:19:00,13438.93,13458.96,13420.81,13430.52,7.348217,98739.19253656,104,4.902315,65889.50431838
20,BTCUSDT,2018-01-01 00:20:00,13440.01,13459.99,13414.18,13440.01,7.832406,105305.62749766,82,4.538938,61071.44359063
21,BTCUSDT,2018-01-01 00:21:00,13458.97,13459.0,13440.01,13440.02,2.830399,38060.89533016,44,1.083958,14580.05424798
22,BTCUSDT,2018-01-01 00:22:00,13440.02,13450.0,13410.44,13440.0,3.308798,44434.00326487,71,0.614373,8258.94883326
